,LMP + toll,LMP + BESS Houston,LMP + BESS West,LMP + BESS both,LMP + toll + BESS Houston,LMP + toll + BESS West,LMP + toll + BESS both
baseline / no-stress,-2.6199020651183673,-1.3495548054452229,-1.081938924296992,-2.431493729742215,-3.96945687056359,-3.701840989422635,-5.051395794860582
baseline / mild,-1.9691224019734364,-1.2968211945080839,-1.0334793082038232,-2.330300502711907,-3.265943596488796,-3.0026017101736215,-4.299422904685343
baseline / moderate,-1.2720124418665364,-1.1990803473017877,-0.9270184253909974,-2.126098772700061,-2.471092789168324,-2.199030867261172,-3.3981112145629595
baseline / uri,2.2684576235005807,-0.9760552049956459,-0.7089436066635244,-1.6849988116118766,1.2924024185049348,1.5595140168370563,0.5834588118414104
ai_structural / no-stress,-2.5651879630495387,-1.333100111940439,-1.0634327031002613,-2.3965328150479763,-3.8982880750008917,-3.628620666153438,-4.961720778097515
ai_structural / mild,-1.9149021067096328,-1.2805181405856274,-1.0151687537618272,-2.2956868943474547,-3.195420247302536,-2.93007086047146,-4.210589001060725
ai_structural / moderate,-1.2175076134699339,-1.1826935177050473,-0.9086005324461439,-2.091294050154829,-2.400201131185895,-2.1261081459160778,-3.308801663624763
ai_structural / uri,2.3230115960759576,-0.9596428254808416,-0.690483883707202,-1.6501267091880436,1.363368770598754,1.6325277123723936,0.672884886887914
mild_drift / no-stress,-2.586876267865591,-1.3248727634090756,-1.0541791893483605,-2.37905195275016,-3.911749031263753,-3.6410554571994,-4.965928220608475
mild_drift / mild,-1.9367163310016622,-1.2723666118326946,-1.0060130734236736,-2.2783796852563682,-3.209082942834357,-2.9427294044326118,-4.21509601625803
mild_drift / moderate,-1.2393107358802808,-1.1745001011695422,-0.8993911878278595,-2.0738912890010397,-2.413810837049823,-2.1387019237081404,-3.3132020248813205
mild_drift / uri,2.301277250815474,-0.9514366339972185,-0.681253624636156,-1.6326902586406504,1.3498406168182555,1.62002362617568,0.6685869921784615
ai_plus_brent / no-stress,-2.4991344773843593,-1.2837360101257218,-1.007908296502137,-2.291644306631497,-3.782870487520995,-3.5070427738937724,-4.790778784023132
ai_plus_brent / mild,-1.8500846856259159,-1.2316089575615479,-0.9602313753202907,-2.1918403328782006,-3.0816936431838258,-2.8103160609462066,-4.041925018507754
ai_plus_brent / moderate,-1.1521024960711657,-1.1335330078945844,-0.853341169826308,-1.9868741777245305,-2.285635503969388,-2.0054436659011117,-3.138976673799334
ai_plus_brent / uri,2.38865265662389,-0.9104056657779438,-0.635099035098392,-1.5455047008872498,1.4782469908423082,1.753553621518222,0.8431479557366401
